D1,D2,MWCNT,P,HV
29.213,22.259,0,100,248.427
35.24,30.992,0,100,189.264
34.086,32.304,0,100,188.798
23.802,28.537,0,100,258.566
28.826,28.752,0,100,212.741
35.24,44.605,0,200,220.361
33.154,33.928,0,200,274.604
41.658,44.128,0,200,183.3
36.322,38.176,0,200,271.739
44.823,41.811,0,200,190.43
51.707,49.773,0,300,220.771
61.374,60.361,0,300,144.254
56.803,54.871,0,300,210.283
47.991,38.563,0,300,283.655
48.229,46.145,0,300,233.906
69.167,75.198,0,500,194.211
85.485,79.376,0,500,181.804
75.118,77.748,0,500,161.951
69.557,61.207,0,500,219.983
76.973,68.401,0,500,167.337
86.324,98.701,0,1000,234.33
116.946,100.081,0,1000,169.834
112.075,105.967,0,1000,164.439
104.96,98.777,0,1000,188.593
104.18,109.9,0,1000,181.452
90.816,75.671,0,1000,204.53
37.174,30.381,1,100,173.499
36.169,31.688,1,100,174.322
32.612,34.16,1,100,194.736
33.696,32.612,1,100,165.578
40.117,46.536,1,100,107.514
49.232,46.528,1,200,198.694
55.875,58.284,1,200,122.303
46.681,42.504,1,200,189.103
64.768,61.979,1,200,109.211
44.208,42.74,1,200,202.662
75.98,72.573,1,300,104.178
60.442,58.045,1,300,162.951
65.304,60.135,1,300,141.773
55.736,52.634,1,300,173.811
62.841,59.431,1,300,141.424
69.255,68.707,1,500,186.212
72.354,69.173,1,500,187.441
68.558,68.866,1,500,188.476
59.607,64.413,1,500,210.85
69.943,66.387,1,500,202.043
103.102,118.636,1,1000,155.928
96.993,92.616,1,1000,204.198
101.399,90.19,1,1000,271.651
93.819,103.633,1,1000,206.537
105.964,103.414,1,1000,184.543
